"query","variants","reason","source_files","source_locations","trends_signal"
"api design principles","api design principles","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#11 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#27 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#36 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#23 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#13","rising"
"apify","apify","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#4 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#14 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#6 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#24","rising | top"
"apple ai news","apple ai news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#26 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#29 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#16","rising | top"
"apple news","apple news","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#17","top"
"apple news today","apple news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#10 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#4 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#11 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#35 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#41 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#27","rising:Breakout | top | top:Breakout"
"apple presentation","apple presentation","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#16 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#27","rising | top"
"artificial intelligence news","artificial intelligence news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#14 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#9 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#20 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#12","rising:Breakout"
"ask chat gpt","ask chat gpt","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#40","rising"
"ask chatgpt","ask chatgpt","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#14 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#24","rising | top"
"astra ai","astra ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#8","rising"
"aviation news today","aviation news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#18 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#16 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#32","rising | rising:Breakout"
"aws news","aws news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#9 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#46 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#51","rising:Breakout | top | top:Breakout"
"aws news today","aws news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#17 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#25 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#41","rising:Breakout | top:Breakout"
"backend development","backend development","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#47 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#30","rising"
"beautiful soup","beautiful soup","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#46 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#38","rising | top"
"beautifulsoup","beautifulsoup","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (2).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (2).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (2).csv#2 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#42 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (2).csv#2 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#25","rising | top"
"best ai presentation maker","best ai presentation maker","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#29 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#31","rising"
"best places to visit in norway","best places to visit in norway","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#39","rising"
"bitcoin news","bitcoin news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#20 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#47 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#8 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#13 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#44 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#12 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#43 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#44 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#28","rising | rising:Breakout | top | top:Breakout"
"bitcoin news today","bitcoin news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#12 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#18 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#22 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#38","rising:Breakout | top:Breakout"
"bitcoin price news today","bitcoin price news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#27","rising:Breakout"
"blender","blender","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#44","top"
"blockchain technology","blockchain technology","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#25 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#30 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#21 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#41 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#14 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#16 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#35","rising"
"books to scrape","books to scrape","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#7 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#21","rising | top"
"business news today","business news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#4 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#3 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#15 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#41 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#10 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#8 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#40 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#31 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#37 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#21","rising:Breakout | rising | top:Breakout | top"
